,Day,MinTemp,MaxTemp,AvgTemp,TempVar,SunTime,PpDur,PpAmount,MinPres,MaxPres,AvgPres,MinHum,MaxHum,AvgHum,Rain,Snow,TStorm
0,20130101,5.7,9.1,7.141666666666667,3.3999999999999995,2.6,6.4,8.1,998.3,1012.4,1004.4208333333332,76,96,86.08333333333333,Yes,No,No
1,20130102,4.2,8.2,6.804166666666667,3.999999999999999,3.3999999999999995,1.6,0.4,1013.4,1024.2,1021.1124999999998,82,98,88.54166666666667,No,No,No
2,20130103,8.8,11.2,10.1125,2.3999999999999986,2.5,0.5,0.1,1023.7,1034.8,1029.6791666666668,89,98,92.75,No,No,No
3,20130104,8.4,9.9,9.108333333333333,1.5,0.0,0.0,0.0,1033.6,1035.4,1034.5375000000001,88,97,93.41666666666667,No,No,No
4,20130105,7.4,8.8,8.141666666666667,1.4000000000000004,0.0,1.9,0.30000000000000004,1031.5,1034.6,1033.4458333333334,88,97,93.625,Yes,No,No
5,20130106,5.2,10.6,7.991666666666667,5.3999999999999995,4.0,0.0,0.0,1029.7,1031.2,1030.3583333333333,87,100,94.79166666666667,No,No,No
6,20130107,6.1,8.2,7.141666666666667,2.0999999999999996,0.0,0.0,0.0,1025.1,1029.7,1027.1583333333333,89,98,95.70833333333333,Yes,No,No
7,20130108,6.2,9.1,7.695833333333333,2.8999999999999995,0.0,1.8,0.30000000000000004,1022.2,1024.9,1023.8625000000001,88,98,93.45833333333333,Yes,No,No
8,20130109,2.2,8.3,6.658333333333334,6.1000000000000005,0.0,11.8,6.199999999999999,1016.4,1021.8,1018.9625,85,98,93.91666666666667,Yes,No,No
9,20130110,0.0,7.8,5.433333333333334,7.8,3.0999999999999996,2.1,2.9,1011.3,1016.1,1013.2375000000001,78,95,85.83333333333333,Yes,No,No
10,20130111,-1.9,2.2,0.55,4.1,0.0,0.0,0.0,1015.0,1019.2,1017.9499999999999,75,94,84.16666666666667,No,No,No
11,20130112,-2.2,2.6,0.37916666666666665,4.800000000000001,4.1,0.0,0.0,1017.3,1018.6,1017.9833333333332,64,88,77.20833333333333,No,No,No
12,20130113,-3.7,0.9,-1.4000000000000001,4.6000000000000005,7.0,0.0,0.0,1018.2,1020.3,1019.3041666666668,66,86,77.91666666666667,No,No,No
13,20130114,-5.9,-1.9,-3.0625,4.0,2.9,0.0,0.0,1005.5,1017.9,1012.7583333333332,71,94,83.54166666666667,No,Yes,No
14,20130115,-7.6,-1.6,-2.5041666666666664,6.0,1.4,9.8,5.799999999999999,1004.3,1010.5,1007.5375,63,95,83.29166666666667,No,Yes,No
15,20130116,-8.9,-0.5,-5.291666666666667,8.4,7.1,0.0,0.0,1010.2,1016.9,1012.6333333333332,60,99,86.58333333333333,No,No,No
16,20130117,-5.6,-2.2,-4.583333333333333,3.3999999999999995,1.8,0.0,0.0,1017.0,1020.1,1019.025,82,96,89.0,No,Yes,No
17,20130118,-2.2,-0.3,-1.4583333333333333,1.9000000000000001,0.5,0.0,0.0,1002.6,1016.5,1009.4583333333334,72,88,80.08333333333333,No,Yes,No
18,20130119,-5.2,-2.5,-3.875,2.7,0.5,0.0,0.0,999.6,1002.1,1000.5666666666667,69,81,73.91666666666667,No,No,No
19,20130120,-5.9,-2.8,-4.729166666666667,3.1000000000000005,0.0,4.8999999999999995,3.7,994.0,999.4,996.1750000000001,76,90,81.875,No,Yes,No
20,20130121,-2.8,-1.4,-2.0791666666666666,1.4,0.0,3.4000000000000004,1.3000000000000003,995.1,1002.6,998.525,80,92,87.5,No,Yes,No
21,20130122,-6.9,-2.7,-4.175,4.2,5.3,0.0,0.0,1002.8,1009.1,1006.0083333333332,78,90,83.66666666666667,No,No,No
22,20130123,-7.3,-3.0,-4.495833333333334,4.3,0.3,0.0,0.0,1009.2,1012.6,1010.7583333333333,74,91,81.5,No,No,No
23,20130124,-7.5,-0.7,-3.6999999999999997,6.8,6.2,0.0,0.0,1012.6,1021.2,1017.3166666666666,59,98,80.08333333333333,No,No,No
24,20130125,-9.1,-2.2,-4.620833333333334,6.8999999999999995,6.7,0.0,0.0,1009.4,1021.3,1017.6750000000002,75,98,84.29166666666667,No,No,No
25,20130126,-3.7,1.4,-1.425,5.1,0.8,2.4,1.1,1007.1,1009.5,1008.3291666666668,77,95,87.375,No,Yes,No
26,20130127,1.6,5.9,3.170833333333333,4.300000000000001,2.0,7.6,4.3999999999999995,995.9,1005.9,999.7708333333334,82,95,91.375,Yes,No,No
